date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06132026-23:38:01;-0.157176;-0.157176171;-0.15717554;-0.157175433;-0.157176013;-0.157177046;-0.15717592;-0.1571777;-0.15717654;-0.15717485;6.29914e-08;4.33554e-08;9.39612e-08;1.11084e-07;4.34539e-08;8.30903e-08;1.26712e-07;2.87054e-08;2.93939e-08;35.2;36.6;39.7;23.0;23.0;24.23;44.2;999.11;
06142026-06:28:42;-0.155566;-0.155566187;-0.155565422;-0.155565463;-0.15556575;-0.155566997;-0.15556606;-0.1555673;-0.15556608;-0.15556491;5.00331e-08;4.33852e-08;7.3684e-08;5.67641e-08;1.77944e-08;1.098e-07;2.31914e-07;4e-08;2.03961e-08;35.6;36.9;40.1;23.0;23.0;25.15;43.7;997.67;
06142026-12:05:45;-0.153681;-0.153681168;-0.153680457;-0.153680467;-0.153680918;-0.153682097;-0.15368098;-0.15368254;-0.15368117;-0.15367976;1.17061e-07;5.27838e-08;4.04628e-08;1.33328e-07;1.43192e-08;1.02255e-07;1.25156e-07;8.06474e-08;3.49857e-08;36.0;37.6;40.8;23.0;23.0;25.36;43.3;997.51;
06142026-10:35:12;-0.153165;-0.153165122;-0.153164443;-0.153164446;-0.153164823;-0.153166034;-0.15316493;-0.15316618;-0.153165;-0.15316404;3.3552e-08;4.72033e-08;1.26228e-07;1.34265e-07;1.77944e-08;1e-07;1.51789e-07;5.71314e-08;4.11825e-08;36.0;37.5;40.7;23.0;23.0;25.82;42.9;997.95;
06142026-01:50:10;-0.151825;-0.151825182;-0.151824406;-0.151824371;-0.151824919;-0.151825964;-0.15182495;-0.15182612;-0.15182488;-0.15182402;6.09417e-08;6.24081e-08;3.00018e-08;8.86138e-08;8.05119e-08;8.0895e-08;2.94985e-07;7.96492e-08;3.31059e-08;35.0;36.3;39.5;23.0;23.0;24.65;44.7;997.71;
06132026-23:25:12;-0.150412;-0.150412224;-0.15041141;-0.150411482;-0.150411946;-0.150412974;-0.15041197;-0.15041312;-0.15041236;-0.15041101;6.52732e-08;4.46985e-08;3.79548e-08;8.49437e-08;1.60075e-08;8.9666e-08;1.65167e-07;6.15142e-08;2.87054e-08;35.2;36.5;39.6;23.0;23.0;24.8;44.4;999.43;
06142026-08:33:32;-0.147894;-0.14789419;-0.147893614;-0.147893488;-0.147893977;-0.147895046;-0.14789387;-0.14789535;-0.14789414;-0.14789303;4.49158e-08;7.64434e-08;6.51943e-08;7.80087e-08;2.27297e-08;1.45245e-07;2.47516e-07;2.85657e-08;1.46969e-08;35.9;37.5;40.6;23.0;23.0;25.08;42.9;998.16;
06142026-01:14:02;-0.146891;-0.146891243;-0.146890467;-0.14689046;-0.146891137;-0.146891987;-0.14689107;-0.14689244;-0.14689095;-0.14688996;7.34838e-08;1.32072e-07;5.57263e-08;1.16797e-07;3.18584e-08;9.18695e-08;1.25156e-07;7.81281e-08;2.93939e-08;35.0;36.3;39.4;23.0;23.0;24.16;45.0;998.56;
06142026-10:25:35;-0.146844;-0.146844165;-0.14684358;-0.146843555;-0.146843677;-0.146845025;-0.14684411;-0.14684492;-0.14684406;-0.14684317;4.64856e-08;3.52349e-08;1.26891e-07;1.24535e-07;2.57247e-08;5.8515e-08;3.03486e-07;2.60768e-08;2.09762e-08;36.0;37.5;40.7;23.0;23.0;25.76;43.0;997.3;
06142026-02:22:12;-0.146357;-0.146357299;-0.146356586;-0.146356516;-0.146357011;-0.146358045;-0.14635696;-0.14635837;-0.14635697;-0.14635607;5.68079e-08;2.8425e-08;3.2511e-08;8.70205e-08;1.7081e-08;5.95315e-08;1.82822e-07;2.05913e-08;1.49666e-08;35.1;36.4;39.6;23.0;23.0;24.47;44.3;997.29;
