date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;
06132026-02:24:03;5.662745;5.6627444;5.66274015;5.66274577;5.6627359;5.6627438;5.6627322;5.6627512;5.662618;5.662743;1.86464e-07;2.11914e-07;5.64599e-07;5.24934e-07;3.09121e-07;4.96655e-07;2.0854e-06;1.24722e-06;2.86744e-06;34.1;35.4;38.4;23.0;23.0;22.900;45.2;1000.31;
06132026-02:26:22;-0.82709;-0.827090883;-0.827090627;-0.827090374;-0.8270894;-0.8270938;-0.8270903;-0.8270991;-0.8271;-0.827091;1.40806e-07;2.75576e-07;7.56086e-08;2.16025e-07;4.71405e-08;4.71405e-08;2.0854e-06;1.24722e-06;8.16497e-07;34.0;35.3;38.4;23.0;23.0;23.020;45.3;1000.44;
06132026-02:28:42;7.844892;7.84489071;7.84488509;7.84489139;7.8448771;7.8448911;7.8448755;7.8449004;7.84485;7.844887;6.2377e-08;7.40015e-08;4.91444e-07;1.08012e-06;3.26599e-07;4.6428e-07;2.00056e-06;1.24722e-06;1.24722e-06;34.0;35.3;38.4;23.0;23.0;23.210;45.3;1000.44;
06132026-02:31:01;-0.034145;-0.0341458172;-0.0341460411;-0.0341452074;-0.0341458;-0.0341491;-0.034145;-0.0341492;-0.034145;-0.03414;1.07943e-07;7.4285e-08;3.22129e-07;1.88562e-07;4.02768e-07;2.0548e-07;9.79796e-07;3.09121e-06;4.71405e-07;34.0;35.3;38.4;23.0;23.0;23.390;45.3;1000.50;
06132026-02:33:21;-9.727908;-9.72790793;-9.72790418;-9.72791038;-9.727895;-9.7279098;-9.7278966;-9.7279295;-9.727986;-9.727948;1.01334e-07;2.39935e-07;3.72969e-07;2.94392e-07;7.03957e-07;6.2361e-07;1.69706e-06;4.10961e-06;1.24722e-06;34.0;35.3;38.4;23.0;23.0;23.500;45.3;1000.60;
06132026-02:35:40;6.133148;6.13314762;6.13314249;6.13314788;6.1331369;6.1331471;6.1331321;6.1331524;6.133054;6.13315;1.5704e-07;2.44026e-07;2.70103e-07;4.10961e-07;4.49691e-07;8.04156e-07;9.79796e-07;9.42809e-07;8.16497e-07;34.0;35.2;38.4;23.0;23.0;23.390;45.1;1000.64;
06132026-02:38:00;2.816972;2.81697176;2.81696951;2.81697243;2.8169663;2.8169694;2.8169642;2.8169694;2.81682;2.816971;9.71013e-08;1.25237e-07;1.00021e-07;6.59966e-07;4.24264e-07;3.39935e-07;1.69706e-06;4.89898e-06;3.29983e-06;34.0;35.3;38.4;23.0;23.0;23.120;45.0;1000.57;
06132026-02:40:19;-6.943355;-6.94335558;-6.94335265;-6.94335716;-6.9433452;-6.9433568;-6.9433481;-6.9433763;-6.943448;-6.943387;4.40714e-07;3.7835e-07;4.08702e-07;4.6428e-07;2.35702e-07;3.85861e-07;1.54128e-06;1.41421e-06;3.26599e-06;34.0;35.3;38.4;23.0;23.0;22.980;45.1;1000.58;
06132026-02:42:38;1.936368;1.93636794;1.93636633;1.93636841;1.9363633;1.9363654;1.9363622;1.9363664;1.936302;1.936365;3.61755e-08;4.04173e-08;1.11494e-07;5.55778e-07;3.68179e-07;8.16497e-08;6.12826e-07;4.08248e-06;9.42809e-07;34.0;35.2;38.4;23.0;23.0;23.050;45.2;1000.60;
06132026-02:44:58;-6.617545;-6.61754507;-6.61754226;-6.61754627;-6.6175357;-6.6175463;-6.6175384;-6.6175646;-6.61766;-6.617574;2.37664e-07;3.29692e-07;2.67153e-07;8.16497e-08;1.69967e-07;7.4087e-07;1.02089e-06;4.71405e-07;4.02768e-06;34.0;35.3;38.4;23.0;23.0;23.120;45.2;1000.55;
